"sample_name","acc","tax_id","name","total_count"
"BAE_25","SRR24705335","2759","Eukaryota","3760"
"BAE_25","SRR24705335","2157","Archaea","1613"
"BAE_26","SRR24705334","2","Bacteria","23716634"
"BAE_26","SRR24705334","10239","Viruses","57342"
"BAE_26","SRR24705334","2759","Eukaryota","18924"
"BAE_26","SRR24705334","2157","Archaea","593"
"BAE_27","SRR24705333","2","Bacteria","16722747"
"BAE_27","SRR24705333","10239","Viruses","109647"
"BAE_27","SRR24705333","2759","Eukaryota","2941"
"BAE_27","SRR24705333","2157","Archaea","632"
"BAE_28","SRR24705332","2","Bacteria","3984834"
"BAE_28","SRR24705332","10239","Viruses","220668"
"BAE_28","SRR24705332","2759","Eukaryota","1291"
"BAE_28","SRR24705332","2157","Archaea","325"
"BAE_29","SRR24705331","2","Bacteria","18179426"
"BAE_29","SRR24705331","10239","Viruses","719930"
"BAE_29","SRR24705331","2759","Eukaryota","2084"
"BAE_29","SRR24705331","2157","Archaea","674"
"BAE_31","SRR24705330","2","Bacteria","13917835"
"BAE_31","SRR24705330","10239","Viruses","613749"
"BAE_31","SRR24705330","2759","Eukaryota","1569"
"BAE_31","SRR24705330","2157","Archaea","975"
"BAE_35","SRR24705329","2","Bacteria","5115037"
"BAE_35","SRR24705329","10239","Viruses","56546"
"BAE_35","SRR24705329","2759","Eukaryota","2120"
"BAE_35","SRR24705329","2157","Archaea","72"
"BAE_37","SRR24705327","2","Bacteria","4617966"
"BAE_37","SRR24705327","10239","Viruses","47419"
"BAE_37","SRR24705327","2157","Archaea","565"
"BAE_37","SRR24705327","2759","Eukaryota","382"
"BAE_44","SRR24705326","2","Bacteria","4538394"
"BAE_44","SRR24705326","10239","Viruses","29511"
"BAE_44","SRR24705326","2759","Eukaryota","5311"
"BAE_44","SRR24705326","2157","Archaea","86"
"BAE_6","SRR24705633","2","Bacteria","17234811"
"BAE_6","SRR24705633","10239","Viruses","144901"
"BAE_6","SRR24705633","2759","Eukaryota","7863"
"BAE_6","SRR24705633","2157","Archaea","1155"
"BAF_21","SRR24705324","2","Bacteria","3757314"
"BAF_21","SRR24705324","10239","Viruses","81374"
"BAF_21","SRR24705324","2759","Eukaryota","288"
"BAF_21","SRR24705324","2157","Archaea","102"
"BAF_22","SRR24705323","2","Bacteria","39214954"
"BAF_22","SRR24705323","10239","Viruses","1269421"
"BAF_22","SRR24705323","2759","Eukaryota","6088"
"BAF_22","SRR24705323","2157","Archaea","428"
"BAF_23","SRR24705322","2","Bacteria","16959666"
"BAF_23","SRR24705322","10239","Viruses","594752"
"BAF_23","SRR24705322","2759","Eukaryota","2163"
"BAF_23","SRR24705322","2157","Archaea","585"
"BAF_24","SRR24705321","2","Bacteria","41558598"
"BAF_24","SRR24705321","10239","Viruses","587722"
"BAF_24","SRR24705321","2759","Eukaryota","4042"
"BAF_24","SRR24705321","2157","Archaea","756"
"BAF_25","SRR24705320","2","Bacteria","5796898"
"BAF_25","SRR24705320","10239","Viruses","177073"
"BAF_25","SRR24705320","2759","Eukaryota","6260"
"BAF_25","SRR24705320","2157","Archaea","156"
"BAF_26","SRR24705319","2","Bacteria","10750089"
"BAF_26","SRR24705319","10239","Viruses","174009"
"BAF_26","SRR24705319","2759","Eukaryota","14515"
"BAF_26","SRR24705319","2157","Archaea","467"
"BAF_27","SRR24705318","2","Bacteria","17183938"
"BAF_27","SRR24705318","2759","Eukaryota","312967"
"BAF_27","SRR24705318","10239","Viruses","161019"
"BAF_27","SRR24705318","2157","Archaea","267"
"BAF_28","SRR24705316","2","Bacteria","11303225"
"BAF_28","SRR24705316","10239","Viruses","111411"
"BAF_28","SRR24705316","2759","Eukaryota","4983"
"BAF_28","SRR24705316","2157","Archaea","517"
"BAF_29","SRR24705315","2","Bacteria","7505116"
"BAF_29","SRR24705315","10239","Viruses","145512"
"BAF_29","SRR24705315","2759","Eukaryota","2710"
"BAF_29","SRR24705315","2157","Archaea","106"
"BAF_30","SRR24705314","2","Bacteria","12215002"
"BAF_30","SRR24705314","10239","Viruses","149697"
"BAF_30","SRR24705314","2759","Eukaryota","6093"
"BAF_30","SRR24705314","2157","Archaea","318"
"BAF_31","SRR24705313","2","Bacteria","14308465"
"BAF_31","SRR24705313","10239","Viruses","271072"
"BAF_31","SRR24705313","2759","Eukaryota","2356"
"BAF_31","SRR24705313","2157","Archaea","368"
"BAF_33","SRR24705312","2","Bacteria","5994293"
"BAF_33","SRR24705312","10239","Viruses","178608"
"BAF_33","SRR24705312","2759","Eukaryota","1870"
"BAF_33","SRR24705312","2157","Archaea","564"
"BAF_38","SRR24705311","2","Bacteria","16598365"
"BAF_38","SRR24705311","10239","Viruses","1039147"
"BAF_38","SRR24705311","2759","Eukaryota","6795"
"BAF_38","SRR24705311","2157","Archaea","536"
"BAF_40","SRR24705310","2","Bacteria","12617243"
"BAF_40","SRR24705310","10239","Viruses","418256"
"BAF_40","SRR24705310","2759","Eukaryota","15697"
"BAF_40","SRR24705310","2157","Archaea","937"
"BAF_46","SRR24705309","2","Bacteria","4118974"
"BAF_46","SRR24705309","10239","Viruses","151405"
"BAF_46","SRR24705309","2759","Eukaryota","3501"
"BAF_46","SRR24705309","2157","Archaea","15"
"BAF_8","SRR24705325","2","Bacteria","19208017"
"BAF_8","SRR24705325","10239","Viruses","425577"
"BAF_8","SRR24705325","2759","Eukaryota","17151"
"BAF_8","SRR24705325","2157","Archaea","874"
"BAG_21","SRR24705307","2","Bacteria","16035237"
"BAG_21","SRR24705307","10239","Viruses","193296"
"BAG_21","SRR24705307","2759","Eukaryota","32816"
"BAG_21","SRR24705307","2157","Archaea","988"
"BAG_22","SRR24705305","2","Bacteria","9847526"
"BAG_22","SRR24705305","10239","Viruses","167194"
"BAG_22","SRR24705305","2759","Eukaryota","1982"
"BAG_22","SRR24705305","2157","Archaea","663"
"BAG_23","SRR24705304","2","Bacteria","16659786"
"BAG_23","SRR24705304","10239","Viruses","336370"
