"acc","sample_name","num_virus_species"
"SRR24705436","DAL_92","111"
"SRR24705435","DAL_93","131"
"SRR24705434","DAL_95","138"
"SRR24705433","DAL_98","139"
"SRR24705432","DAO_60","87"
"SRR24705431","DAO_72","126"
"SRR24705430","DAO_73","100"
"SRR24705429","DAO_74","95"
"SRR24705428","DAO_75","90"
"SRR24705427","DAO_76","23"
"SRR24705425","DAO_77","25"
"SRR24705424","DAO_78","32"
"SRR24705423","DAO_79","31"
"SRR24705422","DAO_80","33"
"SRR24705421","DAO_81","49"
"SRR24705420","DAO_82","44"
"SRR24705419","DAO_84","56"
"SRR24705418","DAO_88","53"
"SRR24705417","DAO_91","45"
"SRR24705416","DAO_99","50"
"SRR24705414","DBL_54","81"
"SRR24705413","DBL_63","70"
"SRR24705412","DBL_64","78"
"SRR24705411","DBL_65","76"
"SRR24705410","DBL_66","91"
"SRR24705409","DBL_67","120"
"SRR24705408","DBL_68","55"
"SRR24705407","DBL_69","47"
"SRR24705406","DBL_71","50"
"SRR24704941","DBL_72","60"
"SRR24704939","DBL_74","79"
"SRR24704938","DBL_75","71"
"SRR24704937","DBL_76","74"
"SRR24704936","DBL_79","76"
"SRR24704935","DBL_81","88"
"SRR24704934","DBL_88","86"
"SRR24704916","DBV_101","123"
"SRR24704933","DBV_63","171"
"SRR24704932","DBV_76","132"
"SRR24704931","DBV_77","135"
"SRR24704930","DBV_78","169"
"SRR24704928","DBV_79","115"
"SRR24704927","DBV_80","105"
"SRR24704926","DBV_81","134"
"SRR24704925","DBV_82","127"
"SRR24704924","DBV_83","112"
"SRR24704923","DBV_84","70"
"SRR24704922","DBV_85","131"
"SRR24704921","DBV_87","136"
"SRR24704920","DBV_88","171"
"SRR24704919","DBV_92","119"
"SRR24704917","DBV_94","159"
"SRR24704915","EAA_33","170"
"SRR24704914","EAA_46","145"
"SRR24704913","EAA_47","167"
"SRR24704912","EAA_48","171"
"SRR24704911","EAA_50","133"
"SRR24704910","EAA_51","79"
"SRR24705181","EAA_53","113"
"SRR24705180","EAA_55","101"
"SRR24705178","EAA_56","125"
"SRR24705177","EAA_60","165"
"SRR24705176","EAA_61","152"
"SRR24705175","EAA_62","155"
"SRR24705174","EAA_63","157"
"SRR24705173","EAA_64","160"
"SRR24705172","EAA_65","155"
"SRR24705171","EAA_71","155"
"SRR24705170","EAB_38","99"
"SRR24705169","EAB_50","84"
"SRR24705167","EAB_51","89"
"SRR24705166","EAB_52","72"
"SRR24705165","EAB_53","82"
"SRR24705164","EAB_54","91"
"SRR24705163","EAB_55","57"
"SRR24705162","EAB_56","55"
"SRR24705161","EAB_57","48"
"SRR24705160","EAB_58","39"
"SRR24705159","EAB_60","49"
"SRR24705158","EAB_65","78"
"SRR24705156","EAB_66","82"
"SRR24705155","EAB_67","63"
"SRR24705154","EAB_68","89"
"SRR24705153","EAB_79","70"
"SRR24705152","EAC_33","143"
"SRR24705151","EAC_45","138"
"SRR24705150","EAC_46","144"
"SRR24705149","EAC_48","137"
"SRR24705148","EAC_49","154"
"SRR24705147","EAC_50","117"
"SRR24705145","EAC_51","63"
"SRR24705144","EAC_52","54"
"SRR24705143","EAC_53","64"
"SRR24705142","EAC_54","80"
"SRR24705141","EAC_55","62"
"SRR24705140","EAC_58","82"
"SRR24705139","EAC_59","89"
"SRR24705138","EAC_62","104"
"SRR24705137","EAC_64","91"
"SRR24705136","EAC_71","80"
"SRR24705133","EAD_33","50"
"SRR24705132","EAD_46","72"
"SRR24705131","EAD_47","67"
"SRR24705130","EAD_48","77"
"SRR24705129","EAD_49","67"
"SRR24705128","EAD_50","65"
"SRR24705127","EAD_51","45"
"SRR24705126","EAD_52","44"
"SRR24705125","EAD_53","28"
"SRR24705124","EAD_54","41"
"SRR24705122","EAD_55","61"
"SRR24705121","EAD_56","60"
"SRR24705120","EAD_58","84"
"SRR24705119","EAD_62","50"
"SRR24705118","EAD_64","54"
"SRR24705405","EAD_71","64"
"SRR24705404","EAE_33","47"
"SRR24705403","EAE_46","48"
"SRR24705402","EAE_47","52"
"SRR24705401","EAE_48","58"
"SRR24705399","EAE_49","58"
"SRR24705398","EAE_50","20"
"SRR24705397","EAE_51","24"
"SRR24705396","EAE_52","40"
"SRR24705395","EAE_53","13"
"SRR24705394","EAE_54","17"
"SRR24705393","EAE_55","20"
"SRR24705392","EAE_57","33"
"SRR24705391","EAE_58","32"
"SRR24705390","EAE_59","35"
"SRR24705388","EAE_61","44"
"SRR24705387","EAE_68","37"
"SRR24705386","EAF_33","208"
"SRR24705385","EAF_46","129"
"SRR24705384","EAF_47","136"
"SRR24705383","EAF_48","155"
"SRR24705382","EAF_49","216"
"SRR24705381","EAF_50","99"
"SRR24705380","EAF_51","143"
"SRR24705379","EAF_52","96"
"SRR24705377","EAF_53","80"
"SRR24705376","EAF_54","109"
"SRR24705375","EAF_55","106"
"SRR24705374","EAF_56","129"
"SRR24704909","EAF_58","141"
"SRR24704908","EAF_62","122"
"SRR24704907","EAF_64","207"
"SRR24704906","EAF_71","100"
"SRR24704905","EAI_33","115"
"SRR24704904","EAI_46","73"
"SRR24704902","EAI_47","74"
"SRR24704901","EAI_48","77"
"SRR24704900","EAI_49","99"
"SRR24704899","EAI_50","107"
"SRR24704898","EAI_51","95"
"SRR24704897","EAI_52","98"
"SRR24704896","EAI_53","106"
"SRR24704895","EAI_54","99"
"SRR24704894","EAI_55","91"
"SRR24704893","EAI_56","99"
"SRR24704891","EAI_58","97"
"SRR24704890","EAI_62","99"
"SRR24704889","EAI_64","102"
"SRR24704888","EAI_71","98"
"SRR24704887","EAL_36","201"
"SRR24704886","EAL_51","154"
"SRR24704885","EAL_52","197"
"SRR24704884","EAL_53","197"
"SRR24704883","EAL_54","213"
"SRR24704882","EAL_55","216"
"SRR24704880","EAL_56","158"
"SRR24704879","EAL_57","101"
"SRR24704878","EAL_58","88"
"SRR24705597","EAL_59","117"
"SRR24705596","EAL_60","143"
"SRR24705595","EAL_61","141"
"SRR24705594","EAL_63","147"
"SRR24705593","EAL_66","133"
"SRR24705592","EAL_67","175"
"SRR24705591","EAL_74","169"
"SRR24705589","EAN_33","139"
"SRR24705588","EAN_46","142"
"SRR24705587","EAN_47","123"
"SRR24705586","EAN_48","126"
"SRR24705585","EAN_49","130"
"SRR24705584","EAN_50","97"
"SRR24705583","EAN_51","72"
"SRR24705582","EAN_52","94"
"SRR24705581","EAN_54","80"
"SRR24705580","EAN_55","77"
"SRR24705578","EAN_58","92"
"SRR24705577","EAN_59","84"
"SRR24705576","EAN_60","87"
"SRR24705575","EAN_62","107"
"SRR24705574","EAN_64","84"
"SRR24705573","EAN_71","110"
"SRR24705572","EAO_42","184"
"SRR24705571","EAO_54","166"
"SRR24705570","EAO_55","217"
"SRR24705569","EAO_59","109"
"SRR24705566","EAO_60","161"
"SRR24705565","EAO_62","67"
"SRR24705564","EAO_64","156"
"SRR24705563","EAO_65","157"
"SRR24705562","EAO_66","215"
"SRR24705561","EAO_67","182"
"SRR24705560","EAO_68","218"
"SRR24705559","EAO_69","221"
"SRR24705558","EAO_70","177"
"SRR24705557","EAO_71","315"
"SRR24705555","EAO_73","248"
"SRR24705554","EAO_74","254"
"SRR24705553","EAP_45","132"
"SRR24705552","EAP_59","124"
"SRR24705551","EAP_60","137"
"SRR24705550","EAP_61","129"
"SRR24705549","EAP_62","129"
"SRR24705548","EAP_63","125"
"SRR24705547","EAP_64","57"
"SRR24705546","EAP_65","49"
"SRR24705544","EAP_66","60"
"SRR24705543","EAP_67","49"
"SRR24705542","EAP_68","88"
"SRR24705541","EAP_69","100"
"SRR24705540","EAP_71","107"
"SRR24705539","EAP_75","131"
"SRR24705538","EAP_77","135"
"SRR24705537","EAP_84","101"
"SRR24705536","EAQ_33","108"
"SRR24705535","EAQ_46","78"
"SRR24705373","EAQ_47","74"
"SRR24705372","EAQ_48","82"
"SRR24705371","EAQ_49","91"
"SRR24705370","EAQ_50","72"
"SRR24705369","EAQ_51","80"
"SRR24705368","EAQ_52","64"
"SRR24705367","EAQ_53","59"
"SRR24705366","EAQ_54","76"
"SRR24705365","EAQ_56","58"
"SRR24705364","EAQ_57","81"
"SRR24705362","EAQ_58","86"
"SRR24705361","EAQ_63","93"
"SRR24705360","EAQ_65","89"
"SRR24705359","EAQ_72","84"
"SRR24705358","EAR_43","189"
"SRR24705357","EAR_51","135"
"SRR24705356","EAR_52","131"
"SRR24705355","EAR_53","144"
"SRR24705354","EAR_54","189"
"SRR24705353","EAR_55","159"
"SRR24705351","EAR_56","94"
"SRR24705350","EAR_57","100"
"SRR24705349","EAR_58","120"
"SRR24705348","EAR_59","93"
"SRR24705347","EAR_60","126"
"SRR24705346","EAR_62","160"
"SRR24705345","EAR_63","191"
"SRR24705344","EAR_66","122"
"SRR24705343","EAR_67","152"
"SRR24705342","EAR_72","185"
"SRR24705116","EAS_25","150"
"SRR24705115","EAS_37","150"
"SRR24705114","EAS_38","141"
"SRR24705113","EAS_39","148"
"SRR24705112","EAS_40","48"
"SRR24705111","EAS_41","194"
"SRR24705110","EAS_42","116"
"SRR24705109","EAS_43","110"
"SRR24705108","EAS_44","132"
"SRR24705107","EAS_45","181"
"SRR24705105","EAS_46","105"
"SRR24705104","EAS_47","150"
"SRR24705103","EAS_48","164"
"SRR24705102","EAS_49","163"
"SRR24705101","EAS_50","175"
"SRR24705100","EAS_56","157"
"SRR24705099","EAT_38","129"
"SRR24705098","EAT_48","109"
"SRR24705097","EAT_49","101"
"SRR24705096","EAT_50","114"
"SRR24705094","EAT_51","43"
"SRR24705093","EAT_52","62"
"SRR24705092","EAT_53","52"
"SRR24705091","EAT_54","48"
"SRR24705090","EAT_55","46"
"SRR24705089","EAT_56","34"
"SRR24705088","EAT_57","56"
"SRR24705087","EAT_58","55"
"SRR24705086","EAT_60","50"
"SRR24705005","EAT_65","80"
"SRR24705003","EAT_68","78"
"SRR24705002","EAT_75","87"
"SRR24705001","EAU_34","62"
"SRR24705000","EAU_46","53"
"SRR24704999","EAU_47","62"
"SRR24704998","EAU_48","57"
"SRR24704997","EAU_49","51"
"SRR24704996","EAU_50","43"
"SRR24704995","EAU_51","46"
"SRR24704994","EAU_52","46"
"SRR24704991","EAU_53","56"
"SRR24704990","EAU_54","57"
"SRR24704989","EAU_55","56"
"SRR24704988","EAU_56","60"
"SRR24704987","EAU_58","47"
"SRR24704986","EAU_59","57"
"SRR24704985","EAU_60","61"
"SRR24704984","EAU_67","58"
"SRR24704983","EAV_34","108"
"SRR24704982","EAV_47","135"
"SRR24704980","EAV_48","136"
"SRR24704979","EAV_49","130"
"SRR24704978","EAV_50","122"
"SRR24704977","EAV_51","120"
"SRR24704976","EAV_52","132"
"SRR24704975","EAV_54","92"
"SRR24704974","EAV_57","112"
"SRR24704877","EAV_62","144"
"SRR24704876","EAV_64","116"
"SRR24704875","EAV_65","112"
"SRR24704873","EAV_66","119"
"SRR24704872","EAV_68","112"
"SRR24704871","EAV_69","131"
"SRR24704870","EAV_72","115"
"SRR24704869","EAW_38","189"
"SRR24704868","EAW_50","233"
"SRR24704867","EAW_51","229"
"SRR24704866","EAW_52","229"
"SRR24704865","EAW_53","210"
"SRR24704864","EAW_54","205"
"SRR24704862","EAW_55","113"
"SRR24704861","EAW_56","92"
"SRR24704860","EAW_57","85"
"SRR24704859","EAW_58","87"
"SRR24704858","EAW_59","161"
"SRR24704857","EAW_60","137"
"SRR24704856","EAW_62","144"
"SRR24704855","EAW_66","193"
"SRR24704854","EAW_68","335"
"SRR24704853","EAW_75","214"
"SRR24704851","EAX_37","81"
"SRR24704850","EAX_50","97"
"SRR24704849","EAX_51","97"
"SRR24704848","EAX_52","105"
"SRR24704847","EAX_53","90"
"SRR24704846","EAX_54","80"
"SRR24705085","EAX_55","56"
"SRR24705084","EAX_56","56"
"SRR24705083","EAX_57","60"
"SRR24705082","EAX_58","45"
"SRR24705080","EAX_59","52"
"SRR24705079","EAX_60","61"
"SRR24705078","EAX_62","57"
"SRR24705077","EAX_66","59"
"SRR24705076","EAX_68","68"
"SRR24705075","EAX_71","71"
"SRR24705074","EAY_36","183"
"SRR24705073","EAY_49","192"
"SRR24705072","EAY_50","192"
"SRR24705071","EAY_51","203"
"SRR24705069","EAY_52","177"
"SRR24705068","EAY_53","142"
"SRR24705067","EAY_54","148"
"SRR24705066","EAY_55","180"
"SRR24705065","EAY_56","173"
"SRR24705064","EAY_57","152"
"SRR24705063","EAY_58","151"
"SRR24705062","EAY_59","147"
"SRR24705061","EAY_61","171"
"SRR24705060","EAY_65","194"
"SRR24705058","EAY_67","173"
"SRR24705057","EAY_74","155"
"SRR24705056","EAZ_33","103"
"SRR24705055","EAZ_45","134"
"SRR24705054","EAZ_46","132"
"SRR24704845","EAZ_47","120"
"SRR24704844","EAZ_48","135"
"SRR24704843","EAZ_49","144"
"SRR24704842","EAZ_50","120"
"SRR24704841","EAZ_51","84"
"SRR24704839","EAZ_52","87"
"SRR24704838","EAZ_53","94"
"SRR24704837","EAZ_54","72"
"SRR24704836","EAZ_55","88"
"SRR24704835","EAZ_56","88"
"SRR24704834","EAZ_58","130"
"SRR24704833","EAZ_59","119"
"SRR24704832","EAZ_66","92"
"SRR24704831","EBC_35","103"
"SRR24704830","EBC_48","120"
"SRR24704828","EBC_49","96"
"SRR24704827","EBC_50","115"
"SRR24704826","EBC_51","151"
"SRR24704825","EBC_52","124"
