"acc","sample_name","name","pct"
"SRR24705291","BAG_46","cellular organisms","98.83"
"SRR24705308","BAG_8","Viruses","2.56"
"SRR24705308","BAG_8","cellular organisms","97.44"
"SRR24705290","BAH_14","Viruses","0.99"
"SRR24705290","BAH_14","cellular organisms","99.01"
"SRR24705289","BAH_24","Viruses","0.75"
"SRR24705289","BAH_24","cellular organisms","99.25"
"SRR24705288","BAH_25","Viruses","0.6"
"SRR24705288","BAH_25","cellular organisms","99.4"
"SRR24705287","BAH_26","Viruses","0.88"
"SRR24705287","BAH_26","cellular organisms","99.12"
"SRR24705286","BAH_27","Viruses","0.69"
"SRR24705286","BAH_27","cellular organisms","99.31"
"SRR24705285","BAH_28","Viruses","0.43"
"SRR24705285","BAH_28","cellular organisms","99.57"
"SRR24705283","BAH_29","Viruses","0.27"
"SRR24705283","BAH_29","cellular organisms","99.73"
"SRR24705282","BAH_30","Viruses","0.66"
"SRR24705282","BAH_30","cellular organisms","99.34"
"SRR24705281","BAH_31","Viruses","0.44"
"SRR24705281","BAH_31","cellular organisms","99.56"
"SRR24705280","BAH_32","Viruses","0.45"
"SRR24705280","BAH_32","cellular organisms","99.55"
"SRR24705279","BAH_33","Viruses","0.52"
"SRR24705279","BAH_33","cellular organisms","99.48"
"SRR24705278","BAH_34","Viruses","0.66"
"SRR24705278","BAH_34","cellular organisms","99.34"
"SRR24705277","BAH_36","Viruses","0.72"
"SRR24705277","BAH_36","cellular organisms","99.28"
"SRR24705276","BAH_38","Viruses","0.82"
"SRR24705276","BAH_38","cellular organisms","99.18"
"SRR24705275","BAH_41","Viruses","0.67"
"SRR24705275","BAH_41","cellular organisms","99.33"
"SRR24705274","BAH_48","Viruses","0.91"
"SRR24705274","BAH_48","cellular organisms","99.09"
"SRR24705271","BAI_21","Viruses","1.17"
"SRR24705271","BAI_21","cellular organisms","98.83"
"SRR24705270","BAI_22","Viruses","1.73"
"SRR24705270","BAI_22","cellular organisms","98.27"
"SRR24705269","BAI_23","Viruses","1.68"
"SRR24705269","BAI_23","cellular organisms","98.32"
"SRR24705268","BAI_24","Viruses","1.89"
"SRR24705268","BAI_24","cellular organisms","98.11"
"SRR24705267","BAI_25","Viruses","2.32"
"SRR24705267","BAI_25","cellular organisms","97.68"
"SRR24705266","BAI_26","Viruses","2.5"
"SRR24705266","BAI_26","cellular organisms","97.5"
"SRR24705265","BAI_27","Viruses","1.78"
"SRR24705265","BAI_27","cellular organisms","98.22"
"SRR24705264","BAI_28","Viruses","1.39"
"SRR24705264","BAI_28","cellular organisms","98.61"
"SRR24705263","BAI_29","Viruses","0.91"
"SRR24705263","BAI_29","cellular organisms","99.09"
"SRR24705261","BAI_30","Viruses","1.37"
"SRR24705261","BAI_30","cellular organisms","98.63"
"SRR24705260","BAI_32","Viruses","2.05"
"SRR24705260","BAI_32","cellular organisms","97.95"
"SRR24705259","BAI_33","Viruses","2.03"
"SRR24705259","BAI_33","cellular organisms","97.97"
"SRR24705258","BAI_36","Viruses","1.75"
"SRR24705258","BAI_36","cellular organisms","98.25"
"SRR24705257","BAI_38","Viruses","1.7"
"SRR24705257","BAI_38","cellular organisms","98.3"
"SRR24705256","BAI_45","Viruses","3.08"
"SRR24705256","BAI_45","cellular organisms","96.92"
"SRR24705272","BAI_8","Viruses","2.69"
"SRR24705272","BAI_8","cellular organisms","97.31"
"SRR24705254","BAJ_21","Viruses","3.16"
"SRR24705254","BAJ_21","cellular organisms","96.84"
"SRR24705253","BAJ_22","Viruses","1.5"
"SRR24705253","BAJ_22","cellular organisms","98.5"
"SRR24705252","BAJ_24","Viruses","0.83"
"SRR24705252","BAJ_24","cellular organisms","99.17"
"SRR24705250","BAJ_25","Viruses","0.11"
"SRR24705250","BAJ_25","cellular organisms","99.89"
"SRR24705249","BAJ_26","Viruses","0.4"
"SRR24705249","BAJ_26","cellular organisms","99.6"
"SRR24705248","BAJ_27","Viruses","0.32"
"SRR24705248","BAJ_27","cellular organisms","99.68"
"SRR24705247","BAJ_28","Viruses","0.36"
"SRR24705247","BAJ_28","cellular organisms","99.64"
"SRR24705246","BAJ_29","Viruses","0.36"
"SRR24705246","BAJ_29","cellular organisms","99.64"
"SRR24705245","BAJ_30","Viruses","0.46"
"SRR24705245","BAJ_30","cellular organisms","99.54"
"SRR24705244","BAJ_31","Viruses","0.5"
"SRR24705244","BAJ_31","cellular organisms","99.5"
"SRR24705243","BAJ_32","Viruses","0.72"
"SRR24705243","BAJ_32","cellular organisms","99.28"
"SRR24705242","BAJ_34","Viruses","0.82"
"SRR24705242","BAJ_34","cellular organisms","99.18"
"SRR24705241","BAJ_38","Viruses","0.41"
"SRR24705241","BAJ_38","cellular organisms","99.59"
"SRR24705239","BAJ_39","Viruses","0.65"
"SRR24705239","BAJ_39","cellular organisms","99.35"
"SRR24705238","BAJ_46","Viruses","1.01"
"SRR24705238","BAJ_46","cellular organisms","98.99"
"SRR24705255","BAJ_9","Viruses","0.64"
"SRR24705255","BAJ_9","cellular organisms","99.36"
"SRR24705236","BAK_19","Viruses","1.31"
"SRR24705236","BAK_19","cellular organisms","98.69"
"SRR24705235","BAK_20","Viruses","0.61"
"SRR24705235","BAK_20","cellular organisms","99.39"
"SRR24705234","BAK_22","Viruses","1.74"
"SRR24705234","BAK_22","cellular organisms","98.26"
"SRR24705233","BAK_23","Viruses","1.71"
"SRR24705233","BAK_23","cellular organisms","98.29"
"SRR24705232","BAK_24","Viruses","0.96"
"SRR24705232","BAK_24","cellular organisms","99.04"
"SRR24705231","BAK_25","Viruses","0.64"
"SRR24705231","BAK_25","cellular organisms","99.36"
"SRR24705230","BAK_26","Viruses","0.47"
"SRR24705230","BAK_26","cellular organisms","99.53"
